,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
44,MZ3556-3,142733,144445,144625,144721,144743,144837,144859,144943,145026,145154,145300,145343,145510,145659,145945,150136,150411,150506,150706,150953,151110,151216,151416,151626,151753,151859,152342,152648,153040,153630,153808,154031,154210,154615,154744,154840,155409
45,MW5853-3,142806,142839,143028,143122,143144,143228,143311,143417,143501,143629,143713,143829,144124,144218,144625,144826,145111,145205,145311,145616,145721,145838,150008,150209,150325,150411,150920,151205,151448,152037,152214,152415,152648,153051,153229,153357,154010
46,MW5936-1,143618,143651,143818,143913,143935,144018,144051,144124,144207,144357,144509,144614,144754,144920,145227,145416,145637,145721,145934,150241,150325,150433,150601,150728,150847,150953,151416,151616,152004,152521,152648,152826,153051,153335,153452,153630,154327
47,MX1084-1,145332,145405,145616,145637,145710,145743,145816,145901,145956,150158,150252,150422,150633,150835,151154,151300,151521,151605,151732,152026,152142,152247,152448,152637,152826,152945,153441,153703,154020,154711,154913,155136,155303,155652,155808,160021,160541
48,MZ3559-3,150241,150444,150633,150717,150802,150920,151004,151048,151143,151311,151416,151459,151804,151920,152225,152415,152637,152721,152923,153156,153251,153357,153630,153819,153926,154010,154425,154754,155052,155547,155714,155841,160106,160519,160636,160754,161158
49,MZ3734-3,151300,151416,151532,151616,151626,151710,151753,151848,151920,152026,152120,152214,152437,152532,152901,152945,153208,153251,153502,153819,153904,153959,154200,154338,154510,154543,155019,155358,155547,160010,160127,160255,160519,160827,160957,161114,161456
50,MW5964-3,154305,154402,154543,154638,154711,154829,154851,154935,155019,155219,155325,155431,155641,155746,160054,160138,160413,160519,160647,161052,161158,161305,161551,161752,161931,162025,162447,162732,162945,163607,163756,163912,164156,164607,164735,164904,165457
51,MZ3956-3,155547,155757,155925,155947,160032,160106,160127,160211,160233,160413,160508,160614,160838,160901,161253,161445,161657,161741,161858,162152,162246,162341,162638,162839,162945,163007,163450,163756,163956,164523,164702,164915,165148,165647,165753,170059,170511
52,MZ3978-3,155558,160754,160913,160957,161030,161136,161147,161253,161326,161445,161529,161635,161814,161931,162319,162542,162817,162902,163040,163301,163355,163450,163723,163839,164006,164101,164556,164841,165243,165742,165859,170131,170321,170617,170745,170850,171347
53,MZ3987-4,161253,161551,161657,161730,161741,161814,161836,161920,161953,162109,162225,162330,162615,162743,163101,163301,163556,163712,163817,164144,164228,164312,164501,164629,164841,164926,165413,165658,165859,170701,170850,171124,171347,171630,171747,171948,172552
54,MP6054-0,,162520,162638,162721,162754,162828,162902,162945,163018,163112,163218,163345,163556,163745,164028,164228,164512,164607,164830,165042,165115,165209,165338,165508,165647,165720,170204,170511,170712,171420,171609,171747,172020,172603,172742,173014,173532
55,MW5943-2,162721,165053,165231,165305,165338,165446,165508,165603,165658,165826,165921,170026,170248,170449,170839,171029,171314,171420,171641,171853,171937,172053,172329,172519,172658,172731,173236,173701,174051,174356,174545,174756,175043,175412,175603,175647,180335
56,MP6359-0,163323,163355,163534,163628,163650,163712,163745,163817,163912,164101,164144,164228,164428,164512,164853,165009,165231,165316,165446,165709,165815,165921,170059,170237,170416,170500,170923,171146,171347,172042,172213,172340,172709,173236,173415,173734,174345
57,MZ4072-4,164028,164101,164239,164312,164355,164439,164501,164607,164640,164830,164937,165115,165413,165508,165815,165932,170215,170321,170511,170807,170912,171029,171219,171420,171620,171714,172159,172413,172614,173142,173331,173542,173723,173956,174218,174450,175210
58,MZ4228-4,165327,165848,170015,170048,170110,170131,170204,170259,170321,170427,170533,170639,170839,171029,171314,171430,171703,171747,171948,172224,172340,172457,172658,172825,172942,173025,173532,173901,174051,174629,174745,175043,175232,175517,175709,175921,180420
59,MW5966-2,170153,171503,171630,171736,171758,171831,171853,171948,172031,172148,172246,172424,172658,172804,173047,173225,173459,173617,173756,174113,174240,174323,174450,174618,174756,174853,175316,175753,180006,180525,180809,181000,181404,181744,181935,182113,182313
60,MW5853-4,,170639,170756,170901,170923,170956,171018,171102,171135,171241,171325,171430,171725,171926,172213,172424,172658,172804,173036,173258,173404,173448,173617,173756,173956,174051,174534,174937,175243,175528,175720,180006,180313,180536,180726,180905,181805
61,MZ3556-4,171051,172508,172625,172709,172731,172814,172836,172953,173047,173225,173320,173426,173628,173839,174145,174251,174513,174629,174841,175221,175401,175456,175636,175826,175955,180028,180504,180821,181033,181510,181744,182008,182229,182806,182934,183051,183629
62,MW5936-2,173617,173639,173817,173901,173956,174029,174113,174251,174345,174513,174618,174745,174915,175032,175434,175636,175859,180006,180240,180515,180620,180736,180949,181139,181437,181543,182124,182523,182722,183250,183429,183629,183945,184312,184451,184757,185116
63,MZ3559-4,174145,174440,174618,174702,174723,174756,174819,174926,174959,175116,175210,175305,175434,175614,175955,180050,180313,180420,180547,180809,180927,181022,181203,181404,181627,181711,182157,182712,182913,183301,183545,183829,184207,184725,184854,185021,185446
64,MZ3734-4,175148,175350,175456,175517,175550,175636,175658,175753,175826,175944,180028,180145,180324,180431,180809,181033,181342,181510,181649,181946,182135,182240,182439,182617,182828,182923,183345,183745,183945,184546,184714,184830,185011,185402,185541,185730,190027
65,MX1084-2,175910,180006,180134,180156,180229,180302,180324,180409,180453,180704,180758,180905,181106,181203,181532,181638,181924,182041,182229,182556,182755,182902,183102,183250,183534,183629,184123,184356,184608,185233,185435,185635,185858,190217,190334,190440,190756
66,MX1135-2,180357,180525,180642,180726,180747,180843,180916,181011,181055,181247,181330,181437,181649,181838,182146,182251,182755,182902,183145,183545,183818,183924,184145,184451,184652,184746,185306,185635,185953,190745,190923,191056,191403,191639,191841,192143,192642
67,MW5964-4,181214,181247,181415,181437,181459,181532,181554,181638,181722,181913,182030,182124,182323,182534,182806,183018,183301,183407,183607,183913,184113,184229,184451,184746,185043,185138,185614,185858,190239,190958,191203,191435,191617,191841,192003,192154,192426
68,MW5898-2,182051,182124,182302,182356,182439,182512,182545,182639,182733,182902,182956,183156,183345,183502,183807,184018,184301,184451,184735,185138,185351,185457,185708,185920,190112,190217,190733,191117,191523,,,,,,,,
69,MZ3956-4,182956,183134,183323,183407,183429,183451,183524,183545,183629,183745,183829,183935,184134,184301,184513,184630,184916,185105,185402,185657,185814,185920,190123,190301,190440,190519,190946,191330,191533,192459,192631,192844,193057,193525,193646,193813,194240
70,MZ3978-4,184007,184608,184746,184841,184916,185011,185105,185138,185233,185339,185435,185519,185708,185847,190134,190239,190508,190616,190807,191117,191246,191341,191533,191713,191905,191917,192415,192800,193013,193741,194101,194240,194418,194632,194749,194841,195459
71,MZ3987-5,185931,190112,190250,190312,190334,190407,190429,190531,190605,190733,190818,190912,191117,191203,191523,191628,191905,192003,192154,192522,192642,192800,192928,193141,193319,193428,193841,194240,194440,194830,195012,195255,195459,195735,195830,200105,200257
72,MP6054-1,,191235,191403,191435,191508,191533,191555,191651,191725,191830,191917,192014,192204,192321,192621,192822,193108,193214,193341,193622,193719,193813,193949,194124,194302,194334,194815,195255,195413,195651,200149,200257,200346,200621,200802,200930,201241
73,MZ4072-5,191639,191725,191917,191951,192014,192047,192108,192143,192215,192343,192426,192621,192800,192906,193152,193236,193451,193547,193802,194113,194229,194324,194451,194643,194815,194853,195317,195459,195651,200257,200419,200715,200836,201357,201452,201624,202110
74,MW5943-3,191917,193002,193130,193214,193247,193319,193341,193417,193439,193547,193634,193741,193916,194101,194345,194440,194705,194805,195001,195255,195402,195511,195640,195819,200010,200105,200513,200941,201125,201346,201513,201710,201837,202110,202217,202333,202730
75,MZ4228-5,192558,194513,194643,194716,194727,194805,194815,194853,194915,195030,195104,195243,195423,195511,195830,200021,200257,200357,200558,200836,200941,201015,201146,201336,201513,201612,202122,202406,202552,202908,203140,203251,203535,203745,203905,203949,204459
76,MW5853-5,200211,200246,200430,200452,200536,200631,200653,200738,200813,200941,201041,201136,201408,201535,201847,202047,202322,202417,202625,202846,203024,203129,203251,203502,203607,203640,204115,204434,204649,205002,205119,205250,205455,205742,205859,210112,210500
