,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
22,MW2390-3,131349,131706,131950,132225,132531,132757,133021,133255,133636,133816,133956,134156,134359,134721,135116,135221,135305,135444,135550,135732,135827,140018,140313,140526,140609,140824,140952,141058,141331,141437,141627,141818,141902,142029,142221,142605,142721,142911,143101,143214,143258,143511,143630,144012,144223,144414,144735,144829,145030,145255,145423,145508,150217,150520,150749,150921,151113,151236,151354,151501,151651,151829,152022,152536,152834,153226,153310,153416,153735,153938,154143,154345,154750,155049,155300,155534
23,MS1695-3,133425,133603,133839,133945,134231,134626,134837,135116,135305,135433,135550,135732,135923,140251,140631,140750,140835,141014,141047,141258,141353,141605,141818,142052,142221,142433,142620,142710,142838,142922,143049,143150,143214,143331,143438,143747,143854,144045,144201,144340,144414,144616,144723,145054,145350,145604,145944,150051,150155,150403,150553,150649,151343,151629,151851,152044,152234,152351,152621,152715,152855,153001,153152,153700,154011,154440,154608,154815,155027,155228,155406,155555,160315,160553,160717,160942
24,MW2780-3,134859,135709,140018,140218,140620,140952,141225,141543,141818,142007,142147,142338,142710,143126,143630,143832,143927,144107,144223,144425,144520,144746,145105,145434,145626,145827,145944,150051,150118,150239,150436,150531,150615,150716,150910,151310,151501,151640,151746,151913,152022,152234,152340,152536,152759,152855,153248,153354,153521,153756,154045,154132,154738,155027,155238,155417,155702,155820,160059,160146,160315,160414,160627,161110,161410,161755,161902,162041,162415,162638,162807,163500,163913,164235,164425,164901
25,MW2856-2,,142102,142648,143005,143236,143630,143905,144140,144257,144436,144651,144746,144841,145211,145637,145827,145922,150051,150206,150403,150520,150749,151008,151236,151310,151512,151807,151851,152055,152201,152351,152536,152559,152621,152748,153056,153259,153532,153616,153746,153841,154107,154216,154750,155027,155217,155512,155713,155758,160020,160220,160253,160847,161121,161337,161506,161722,161840,162114,162222,162341,162448,162627,163129,163415,163925,164125,164235,164425,164531,164648,165113,165759,170224,170531,171112
26,MS2259-2,144340,144531,145105,145255,145604,145933,150206,150425,,150823,151008,151135,151236,151629,152033,152256,152424,,152632,152834,152939,153215,153521,153746,153841,154056,154301,,154535,154641,154725,154954,155027,155155,155333,155747,155903,,160220,160350,160425,160705,160847,161048,,161432,161733,161913,162019,162245,162415,162521,,163532,163808,163946,164114,164224,164436,164542,164743,164806,164956,165452,170139,170755,171324,171514,171706,172909,173547,174003,174557,175145,175653,180201
27,MW5537-0,,150118,150327,150542,150910,151247,151501,151902,152055,152201,152351,152559,152748,153204,153554,153746,153841,154011,154132,154312,154407,154714,155027,155249,155344,155534,155702,155747,160020,160146,160231,160315,160403,160458,160627,160942,161132,161326,161410,161528,161603,161817,161924,162136,162341,162521,163021,163140,163309,163543,163724,163757,164425,164648,164901,165018,165139,165236,165452,165557,165737,165832,165959,170458,170912,171749,171929,172120,172447,173654,174037,174820,175335,175642,180117,180533
28,MS1935-3,152245,152446,,153237,153459,,,,,154910,155206,155300,155439,155830,160304,160436,160553,160728,,161110,161217,161528,161744,161957,162041,162245,,,162627,162733,162851,163043,163129,163258,163426,163746,,164041,164138,164246,164330,164436,164553,164710,164901,165203,165417,165524,165726,165821,165937,170022,170542,170817,171039,171156,171346,171408,171535,171631,171739,171844,172003,172459,172814,173207,173408,173918,174330,174503,175038,175620,180331,181010,181543,182105
29,MW3053-3,,154120,154418,154750,155217,155512,155606,155914,160327,160447,160627,160750,160953,161348,161817,162008,162052,162234,162330,162510,162605,162851,163151,163404,163448,163650,163819,163913,164103,164149,164235,164352,164425,164458,164615,165007,165139,165310,165406,165502,165546,165810,165915,170201,170403,170531,170839,170945,171028,171251,171452,171546,172142,172447,172702,172825,173005,173111,173251,173357,173547,173643,173823,174313,175240,175759,175916,180212,180438,180713,181840,182757,183402,183819,184139,184500
30,MS2365-3,154803,155439,155651,155914,160253,160717,160953,161315,161625,161744,161957,162103,162222,162605,162946,163107,163151,163343,163511,163639,163735,163957,164213,164425,164458,164721,164850,164934,165102,165150,165224,165332,165406,165535,165653,170022,170139,170319,170447,170615,170658,170839,170945,171313,171419,171514,171855,172003,172035,172320,172426,172510,173027,173335,173525,173643,173811,173929,174116,174211,174346,174441,174619,175101,180044,180449,180736,180959,181426,183127,183351,183808,184545,184915,185042,185413
31,MW2390-4,160135,160825,161251,161636,162008,162403,162638,163054,163532,163650,163819,163902,164202,164542,164934,165125,165213,165406,165513,165737,165843,170150,170425,170648,170755,170956,171156,171313,171452,171557,171631,171749,171855,172035,172152,172543,172858,173144,173251,173419,173547,173800,173918,174259,174441,174547,174904,175123,175240,175504,175715,175821,180702,180938,181224,181532,181744,181902,182043,182211,182350,182509,182659,183212,185211,190124,190432,190814,191204,191459,191744,192018,192408,192738,192949,193535
32,MS1695-4,,162415,162745,163054,163448,163935,164138,164542,165029,165125,165259,165452,165704,170128,170520,170658,170744,170912,170956,171145,171313,171514,171749,172025,172047,172236,172437,172605,172702,172751,172931,173027,173111,173218,173346,173716,173907,174127,174222,174313,174357,174641,174747,175324,175547,175653,180011,180117,180224,180500,180725,180809,181510,181851,182032,182244,182436,182604,182757,182916,183032,183106,183234,183808,185649,190505,190633,191003,191342,191616,191849,192134,192547,192811,193000,193610
