,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
68,MX1197-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1,1,5,3,2,3,1,2,1,1,3,-1,-1
69,MZ3956-4,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,3,5,4,1,2,3,3,1,1,-1,-1
70,MX1135-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,3,3,3,2,2,3,3,2,1,-1,-1
71,MX1105-4,-1,-1,1,1,1,,1,1,-1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,5,1,1,4,5,3,2,2,1,3,1,1,-1,-1
72,MX1067-3,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,4,5,5,1,2,5,2,1,1,-1,-1
73,MZ3556-4,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,2,3,1,1,1,3,2,1,5,1,1,4,4,5,1,1,3,2,1,1,-1,-1
74,MW5966-3,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,5,5,4,1,1,1,1,1,1,-1,-1
75,MZ4228-4,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,5,5,4,2,1,2,1,1,1,-1,-1
76,MZ3734-4,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,5,5,4,2,1,1,1,2,1,-1,-1
77,MX1213-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,5,5,4,1,1,1,1,1,1,-1,-1
78,MZ3825-4,-1,-1,1,1,1,1,-1,-1,2,1,1,1,1,1,-1,1,1,1,1,1,2,1,1,1,1,1,4,5,4,1,1,3,1,1,1,-1,-1
79,MW5853-4,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,5,5,4,1,1,3,1,1,3,-1,-1
80,MZ3978-4,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,1,1,1,1,1,1,-1,-1
81,MZ3559-4,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,4,4,4,1,1,2,1,1,1,-1,-1
82,MZ3740-4,-1,1,1,1,1,1,1,1,-1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,3,3,4,1,1,1,1,1,1,-1,-1
