,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
75,MW5966-3,184328,184423,184942,185314,185643,185940,190236,190612,190930,191847,192153,192814,192920,193036,193236,193403,193509,193721,193901,194126,194348,194434,194611,194739,195106,195309,195508,195613,195752,195824,195931,200037,200059,200121,200205,200227,200354,200449
76,MW5936-3,,190802,191057,191236,191552,191931,192215,192414,192647,193120,193436,194031,194148,194315,194517,194644,194800,195055,195151,195341,195540,195613,195708,195846,200216,200343,200533,200700,200806,200849,200956,201039,201123,201156,201230,201313,201442,201526
77,MW5853-4,,191858,192047,192320,192509,192920,193036,193236,193458,194939,195118,195646,195752,195909,200048,200205,200300,200554,200649,200828,200923,201007,201101,201219,201526,201642,201904,202009,202104,202148,202254,202337,202410,202432,202515,202526,202642,202715
78,MX1260-4,193225,193447,193710,193912,194221,194528,194644,194811,195330,200016,200143,200711,200754,200901,201028,201145,201313,201453,201609,201748,201947,202020,202115,202231,202610,202759,202948,203054,203210,203243,203401,203455,203517,203549,203611,203644,203748,203844
79,MZ3734-5,194348,194717,195044,195225,195519,195752,195952,200143,200522,201453,201620,202137,202231,202359,202559,202715,202811,203105,203232,203412,203517,203600,203705,203810,204127,204316,204517,204622,204717,204812,204909,204945,205007,205028,205101,205122,205228,205323
80,MZ3740-5,195624,195931,200037,200238,200405,200754,201007,201208,201358,202115,202410,202905,203021,203138,203326,203433,203538,203759,203905,204032,204105,204148,204243,204412,204738,204920,205122,205218,205334,205409,205504,205536,205609,205630,205714,205735,205840,205946
81,MZ3559-4,,,,,,,,,,,,195708,195752,195909,200037,200132,200238,200533,200638,200806,200901,200945,201050,201230,201537,201642,201915,202009,202115,202210,202315,202348,202410,202432,202504,202537,202642,202726
82,MZ3825-5,200721,201134,201313,201453,201704,202009,202210,202326,202515,203105,203243,203810,203916,204032,204211,204316,204412,204644,204800,204933,205133,205218,205358,205504,205840,205956,210146,210302,210419,210503,210609,210641,210714,210736,210830,210841,210957,211052
83,MP6358-2,202537,202610,202748,202937,203148,203549,203727,203844,204011,204528,204717,205250,205420,205558,205746,205913,210007,210219,210313,210525,210631,210725,210852,211030,211359,211609,211758,211852,212019,212052,212208,212241,212313,212346,212420,212442,212608,212703
84,MZ3987-5,204159,204337,204601,204717,204909,205250,205334,205431,205652,210007,210146,210631,210736,210925,211030,211135,211253,211453,211620,211809,211936,212019,212052,212219,212525,212725,212840,212935,213052,213124,213313,,213324,213346,213419,213442,213547,213631
85,MP6054-2,,205630,205746,205946,210146,210536,210736,210903,211041,211421,211609,212103,212157,212302,212442,212525,212641,212819,212914,213052,213313,213324,213453,213609,213843,214011,214148,214253,214347,214442,214546,214619,214702,214724,214745,214818,214912,214945
86,MW5191-5,210809,210957,211231,211421,211515,211830,212030,212147,212503,212735,213030,213547,213643,213759,213906,214022,214127,214326,214442,214557,214735,214840,214956,215111,215355,215511,215804,215859,220005,220038,220144,220216,220238,220259,220332,220343,220510,220604
87,MW5853-5,,212241,212358,212547,212957,213408,213504,213643,213832,214116,214253,214840,214945,215122,215301,215406,215511,215659,215815,220005,220100,220154,220259,220415,220814,221036,221224,221329,221456,221518,221624,221708,221729,221751,221846,221909,222014,222057
88,MZ3559-5,214431,214557,214756,214945,215144,215605,215804,215859,220144,220332,220448,220941,221025,221130,221246,221340,221445,221635,221740,221941,222119,222202,222330,222458,222826,223026,223142,223248,223405,223459,223604,223659,223720,223742,223804,223826,223921,223953
89,MZ3734-6,215943,220154,220343,220542,220825,221047,221257,221507,221740,222108,222246,222803,222859,223110,223259,223354,223448,223710,223826,223931,224142,224247,224403,224531,224754,224912,225028,225124,225231,225304,225359,225432,225454,225515,225537,225610,225704,225748
90,MZ3740-6,221708,221802,221952,222141,222340,222636,222814,222953,223227,223510,223637,224142,224247,224414,224553,224637,224732,224945,225051,225220,225315,225359,225515,225643,225936,230041,230241,230335,230442,230514,230609,230641,230714,230725,230757,230819,230913,230946
91,MZ3825-6,222130,222837,223110,223237,223626,224004,224215,224309,224531,224912,225051,225610,225704,225809,225936,230041,230136,230324,230431,230558,230747,230830,231008,231124,231438,231558,231840,231945,232102,232146,232313,232358,232420,232442,232514,232536,232714,
92,MZ3956-5,223459,223804,224047,224204,224320,224615,224648,224827,224934,225315,225443,230008,230114,230208,230335,230431,230525,230747,230852,231019,231135,231209,231401,231503,231757,231934,232218,232302,232409,232453,232630,232703,232726,,,,,
93,MZ3978-5,223648,224520,224648,224754,225146,225537,225726,225831,230041,230313,230453,231008,231113,231305,231412,231514,231609,231818,231913,232040,232135,232207,232313,232442,,,,,,,,,,,,,,
94,MP6358-3,225051,225220,225359,225537,225820,230125,230230,230346,230558,230913,231040,231558,231652,231818,231945,232029,232113,232251,232346,232525,232630,232714,,,,,,,,,,,,,,,,
95,MZ3987-6,230114,230219,230409,230547,230703,231008,231113,231243,231401,231547,231652,232146,232240,232346,232442,232525,232608,,,,,,,,,,,,,,,,,,,,,
96,MP6054-3,231327,231401,231609,231746,231956,232409,232558,232652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,MW5191-6,232737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
