,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
48,AA6738-1,-1,1,1,1,2,1,1,1,2,,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,,1,1,2,3,-1,1,1,1,1,1,3,,-1,,2,1,1,-1
49,AA7559-2,-1,1,1,2,2,4,4,1,3,4,1,1,1,1,4,,2,1,1,1,1,,2,1,1,-1,-1,1,1,1,1,,1,1,1,3,1,1,1,1,1,1,2,,-1,2,4,2,4,-1
50,MX4598-2,,1,1,1,1,4,1,1,3,4,1,1,1,1,5,1,1,1,1,1,1,1,1,,1,-1,-1,1,1,3,3,1,2,1,1,3,-1,1,1,1,1,1,2,1,-1,2,3,1,1,-1
51,MX4614-2,,2,1,1,3,2,1,2,,4,1,,,1,,,1,1,1,,,1,1,1,1,-1,-1,1,1,,3,1,2,1,1,3,-1,1,1,1,1,1,2,1,-1,2,3,1,1,-1
52,MW5425-1,-1,1,2,3,3,2,1,1,3,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,-1,1,1,1,1,1,3,2,-1,2,4,1,1,-1
53,MX4338-3,-1,1,1,1,2,1,1,1,4,4,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,3,-1,4,3,1,5,-1
54,AA7712-3,-1,2,1,1,2,1,1,1,3,3,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,4,2,-1,5,3,1,1,-1
55,MX4021-3,-1,1,1,1,2,4,1,1,3,4,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,2,3,-1,1,2,1,1,-1
56,MX4159-3,,1,1,1,2,2,1,1,4,4,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,3,4,5,4,1,1,-1
57,MX4365-3,-1,1,2,1,3,3,2,1,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,-1,2,3,1,2,-1
58,MX4383-3,-1,1,1,1,1,3,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,2,4,-1,1,1,1,1,1,3,4,-1,4,3,1,2,-1
59,MX4458-3,,2,1,1,2,2,1,1,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,-1,-1,2,1,1,4,1,2,1,1,2,1,1,1,1,1,1,4,3,-1,3,3,1,2,-1
60,AA7562-3,-1,1,1,1,2,2,1,1,2,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,,1,1,1,1,2,4,2,1,1,1,1,1,3,3,4,4,2,1,1,-1
61,AA7731-3,-1,2,2,1,1,3,1,1,3,4,,1,1,1,2,1,1,1,1,1,1,3,2,1,1,-1,-1,1,1,1,1,-1,1,1,2,3,-1,1,1,1,1,1,4,,5,4,4,1,1,-1
62,AA6738-2,-1,1,2,1,2,2,1,1,4,4,1,1,1,1,2,1,1,1,1,1,1,1,-1,,1,1,1,1,,1,4,,1,1,2,2,1,1,1,1,1,2,4,4,-1,4,3,1,1,-1
63,MX4598-3,-1,1,2,1,2,4,1,2,3,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,3,3,-1,1,1,1,1,1,4,3,-1,4,3,1,1,-1
64,MX4614-3,,2,1,1,3,4,1,1,4,4,1,1,1,2,5,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,5,2,1,1,1,1,1,2,4,-1,3,3,1,1,-1
65,MW5425-2,-1,1,2,1,3,2,3,2,5,4,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,4,1,2,1,1,4,-1,1,1,1,1,1,3,3,-1,3,2,1,1,-1
66,AA7450-2,-1,1,1,1,2,4,4,1,4,4,1,1,1,1,4,2,2,1,1,1,1,3,2,1,1,1,-1,1,,,4,-1,1,1,1,3,-1,1,1,1,1,1,4,,-1,1,3,1,5,-1
67,MX4021-4,,1,1,1,2,4,4,1,3,4,1,1,1,1,1,2,2,1,1,1,1,4,1,1,1,-1,-1,1,1,,1,1,1,1,1,4,-1,1,1,1,1,1,4,3,-1,1,3,1,5,-1
68,MX4159-4,-1,1,1,1,2,4,4,2,4,5,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,-1,3,1,1,1,1,1,1,1,1,3,-1,1,1,1,1,1,4,3,-1,2,4,2,5,-1
69,AA7712-4,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,-1,-1,1,1,1,4,-1,1,1,2,4,-1,1,1,1,1,1,4,4,5,5,4,1,2,-1
